# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 197
#
# Samples: 2K of event 'cycles:ppp'
# Event count (approx.): 34805110900
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................
#
     0.00%  java             [unknown]            [k] 0xffffffffc0bce07c
     0.00%  java             libc-2.17.so         [.] _dl_addr
     0.00%  java             [unknown]            [k] 0xffffffffa158ca5b
     0.00%  java             [unknown]            [k] 0xffffffffa0fa9e37
     0.00%  java             [unknown]            [k] 0xffffffffa0ff99ed
     0.00%  java             [unknown]            [k] 0xffffffffc0bcba24
     0.00%  perf             [unknown]            [k] 0xffffffffa0fa7098
     0.00%  perf             [unknown]            [k] 0xffffffffa1005cb4
     0.00%  perf             [unknown]            [k] 0xffffffffa0e35b20
     0.00%  perf             [unknown]            [k] 0xffffffffa0e6d5f8


#
# (Tip: Treat branches as callchains: perf report --branch-history)
#
