# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 17
#
# Samples: 831  of event 'cycles:ppp'
# Event count (approx.): 1669426878
#
# Overhead  Command  Shared Object       Symbol                                                             
# ........  .......  ..................  ...................................................................
#
     0.03%  java     [unknown]           [k] 0xffffffffa11a666f
     0.03%  java     libjvm.so           [.] BlockListBuilder::set_leaders
     0.03%  java     libjvm.so           [.] PerfClassTraceTime::initialize
     0.03%  java     [unknown]           [k] 0xffffffffa0e0b2dc
     0.03%  java     [unknown]           [k] 0xffffffffa104da33
     0.03%  java     libjvm.so           [.] CollectedHeap::common_mem_allocate_init
     0.03%  java     libjvm.so           [.] stringStream::write
     0.03%  java     [unknown]           [k] 0xffffffffa0fc84bf
     0.03%  java     libjvm.so           [.] SharedRuntime::native_method_throw_unsatisfied_link_error_entry
     0.03%  java     [unknown]           [k] 0xffffffffa0e6d5f8
     0.03%  java     [unknown]           [k] 0xffffffffa0ec6dc8
     0.03%  java     [unknown]           [k] 0xffffffffa10514a3
     0.03%  java     libc-2.17.so        [.] __clock_gettime
     0.03%  java     [unknown]           [k] 0xffffffffa0fbf218
     0.03%  java     [unknown]           [k] 0xffffffffa0fc5f1a
     0.03%  java     [unknown]           [k] 0xffffffffa0fca54f
     0.03%  java     [unknown]           [k] 0xffffffffa0e32244
     0.03%  java     [unknown]           [k] 0xffffffffc08193c5
     0.03%  java     [unknown]           [k] 0xffffffffc07e3d5b
     0.03%  java     [unknown]           [k] 0xffffffffa0ecb525
     0.03%  java     libjvm.so           [.] LIR_Assembler::add_debug_info_for_branch
     0.03%  java     [unknown]           [k] 0xffffffffa102894e
     0.03%  java     [unknown]           [k] 0xffffffffa0fb43b1
     0.03%  java     [unknown]           [k] 0xffffffffa118c87b
     0.03%  java     [unknown]           [k] 0xffffffffa0e2b81f
     0.03%  java     [unknown]           [k] 0xffffffffa106eb3a
     0.03%  java     [unknown]           [k] 0xffffffffa0edab0c
     0.03%  java     [unknown]           [k] 0xffffffffa103ec60
     0.03%  java     [unknown]           [k] 0xffffffffc080807b
     0.03%  java     [unknown]           [k] 0xffffffffa0fbcdda
     0.03%  java     [unknown]           [k] 0xffffffffa0fbdc97
     0.03%  java     [unknown]           [k] 0xffffffffa11b9a04
     0.03%  java     [unknown]           [k] 0xffffffffa104e5e5
     0.03%  java     libc-2.17.so        [.] __memset_sse2
     0.03%  java     [unknown]           [k] 0xffffffffa14afb20
     0.03%  java     [unknown]           [k] 0xffffffffc081937f
     0.03%  java     [unknown]           [k] 0xffffffffa1040ae1
     0.03%  java     [unknown]           [k] 0xffffffffa105c67e
     0.03%  java     [unknown]           [k] 0xffffffffa0fbd929
     0.03%  java     [unknown]           [k] 0xffffffffa103ec36
     0.03%  java     [unknown]           [k] 0xffffffffa11a666b
     0.02%  java     [unknown]           [k] 0xffffffffa158ca25
     0.02%  java     [unknown]           [k] 0xffffffffa0ec9855
     0.02%  java     [unknown]           [k] 0xffffffffa0fa9e30
     0.02%  java     [unknown]           [k] 0xffffffffa1590760
     0.02%  java     [unknown]           [k] 0xffffffffc0806dac
     0.02%  java     [unknown]           [k] 0xffffffffa0ffcf39
     0.02%  java     [unknown]           [k] 0xffffffffa1027d7b
     0.02%  java     [unknown]           [k] 0xffffffffc0806993
     0.02%  java     ld-2.17.so          [.] do_lookup_x
     0.02%  java     [unknown]           [k] 0xffffffffa1595f85
     0.02%  java     [unknown]           [k] 0xffffffffc08069d4
     0.02%  java     [unknown]           [k] 0xffffffffc0bce11e
     0.02%  java     [unknown]           [k] 0xffffffffa158c3bf
     0.02%  java     [unknown]           [k] 0xffffffffa0fee74d
     0.02%  java     [unknown]           [k] 0xffffffffa158ca5e
     0.01%  java     [unknown]           [k] 0xffffffffa118ca53
     0.00%  perf     [unknown]           [k] 0xffffffffa0fa7070
     0.00%  perf     [unknown]           [k] 0xffffffffa1213e03
     0.00%  perf     [unknown]           [k] 0xffffffffa0e0acc6
     0.00%  perf     [unknown]           [k] 0xffffffffa0e6d5f8


#
# (Tip: If you prefer Intel style assembly, try: perf annotate -M intel)
#
